name,acronym,address,city,state,phone,email,website,country,Affilated,Recorded By,Recorded Date
Conejo Fencing Club,ConejoFC,"2267 Goldsmith Ave Thousand Oaks, CA 91360, US",Thousand Oaks - CA,CA,(805) 496-7340,phareff@yahoo.com,http://www.conejofencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Connecticut Fencers Club,CTFC,"35 Snow Ridge South Middletown, CT 06457, US",Middletown - CT,CT,(860) 834-9395,jsfaulk1@sbcglobal.net,http://connecticutfencersclub.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Cordele Athletic Club,CAC,"PO Box 734 Cordele, GA 31010, US",Cordele - GA,GA,(443) 286-0659,cordeleathleticclub@gmail.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Cornell University NCAA,CornellUniv,"554 Campus Road, Rm 157 Ithaca, NY 14858, US",Ithaca - NY,NY,(607) 255-2368,sj766@cornell.edu,https://cornellbigred.com/index.aspx?path=fencing,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Corsair Fencing Club,CorsairFC,"352 Butler Street Pittsburgh, PA 15223, US",Pittsburgh - PA,PA,(412) 477-5746,corsairfencingclub@gmail.com,http://corsairfencingclub.blogspot.com/,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Cortines HS of VAPA,CHSofVAPA,"450 North Grand Ave Los Angeles, CA 90012, US",Los Angeles - CA,CA,(818) 489-7861,gschiller332@gmail.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Crimson Blades Fencing Academy,CBFA,"200 Golf Rd. Libertyville, IL 60048, US",Libertyville - IL,IL,(847) 816-6100,Info@CrimsonBlades.org,http://www.crimsonblades.org,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Culver Military Academy,Culver,"1300 Academy Dr, Steinbrenner Recreation Center Culver, IN 46511, US",Culver - IN,IN,(574) 261-2094,thomas.mcnally@culver.org,http://www.culver.org,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Cumberland D'Escrime,Cumberland,"4805 Park Ave. Nashville, TN 37209, US",Nashville - TN,TN,(615) 613-2034,arymetore@hotmail.com,https://www.cdefencing.org/,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Cyranos Place,CyranosPlc,"15639 Madison Ave Lakewood, OH 44107, US",Lakewood - OH,OH,(216) 227-3835,info@cyranosplace.info,http://www.cyranosplace.info,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
D'Alerta Fencing Academy,DAlertaFA,"1600 Lockwood Blvd. Oviedo, FL 32765, US",Oviedo - FL,FL,(407) 687-4775,maestro1800@gmail.com,http://www.dalertafencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Dark Horse Fencing Club,DHFC,"12326 Spotswood Furnace Rd Frederickburg, VA 22407, US",Frederickburg - VA,VA,(640) 809-7452,darkhorsefencing@gmail.com,http://www.darkhorsefencing.club,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Davis Fencing Academy,DavisFA,"2121 2nd St., A-104 Davis, CA 95618, US",Davis - CA,CA,(530) 758-7087,DavisFencing@gmail.com,http://www.davisfencingacademy.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
DC Fencers Club,DCFencers,"9330 Fraser Ave Silver Spring, MD 20910, US",Silver Spring - MD,MD,(240) 505-9202,dcfencers@gmail.com,http://www.dcfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Deer Park Fencers Club,DPFC,"610 E San Augustine Street Deer Park 77536, US",Deer Park 77536 - US,US,(281) 507-3564,john@trojanowski.com,https://texasfencing.wixsite.com/deerparkfencers,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Delaware Valley Fencers Club-PA,DEVlyFC-PA,"8 Union Hill Road, . West Conshohocken, PA 19428, US",West Conshohocken - PA,PA,(609) 638-0749,vasicm99@yahoo.com,http://www.dvfencers.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Delta Fencing Center,DELTA,"5758 Lorraine Ave. Stockton, CA 95210, US",Stockton - CA,CA,(209) 507-2633,info@deltafencingcenter.com,http://www.deltafencingcenter.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Delta H Fencers,DELTA H,"2010 Coliseum Blvd, Attn: John Fulcher Greensboro, NC 27403, US",Greensboro - NC,NC,(336) 327-3000,piedmontfencersalliance@gmail.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Denison University Fencing NCAA,DenisonUFC,"100 W College Street Granville, OH 43023, US",Granville - OH,OH,(740) 877-6623,grandboisp@denison.edu,http://www.denisonfencing.org,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Denver Fencing Center,DenverFC,"1930 S Navajo St. Denver, CO 80223, US",Denver - CO,CO,(303) 922-7288,info@denverfencingcenter.com,http://www.denverfencingcenter.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Des Moines Fencing Club,DesMoinesFC,"In process West Des Moines, Iowa 50265, US",West Des Moines - Io,Io,(402) 981-0022,dmfcpresident@gmail.com,http://www.desmoinesfencingclub.org,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Desert Fencing Academy,DesertFA,"73-760 Dinah Shore Drive, Suite 103D Palm Desert, CA 92211, US",Palm Desert - CA,CA,(760) 218-1343,guplet1@gmail.com,http://www.desertfencingacademy.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
DMACC Fencing Club,DMACC,"5007 Hawthorne Dr. Apt J West Des Moines, IA 50265, US",West Des Moines - IA,IA,(641) 521-3652,cifamelanie@gmail.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Don Bosco Prep,DBP,"492 N Franklin Turnpike Ramsey, NJ 07446, US",Ramsey - NJ,NJ,(201) 327-8003,mszor@donboscoprep.org,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Doral Fencing Club,DoralFC,"11400 nw 82 st doral, FL 33178, US",doral - FL,FL,(786) 860-7614,doralfencingclub@gmail.com,http://www.doralfencingclub.org,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Down East School of Fencing,DownEastSchl,"19 W. Side Dr. Verona Island, ME 04416, US",Verona Island - ME,ME,(207) 974-8461,desfcg@aol.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Dragon Heart Fencing,DHF,"510 S Mason #K Katy, TX 77450, US",Katy - TX,TX,(713) 598-4698,brandtsiem.silvia@gmail.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Drew University NCAA,DrewUnivNCAA,"36 madison avenue, Simon Forum -- Attn: Vincent Paragano madison, NJ 07940, US",madison - NJ,NJ,(908) 229-5100,vparagano@drew.edu,http://www.drewrangersfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Dublin Fencing Club,DUBLIN FC,"6780 Coffman Rd Columbus, OH 43017, US",Columbus - OH,OH,(614) 764-5900,birkhoff_simon@dublinschools.net,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Duke University Fencing NCAA,DukeUnivNCAA,"364 Scott Family Athletics Performance Center, Box 90555 Durham, NC 27708, US",Durham - NC,NC,(919) 668-5752,beguinet@duke.edu,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Dunedin Fencing Club,DunedinFC,"7433 Candlelight Ct New Port Richey, FL 34652, US",New Port Richey - FL,FL,(727) 422-5706,iwillcutya@hotmail.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Dunwoody Fencing Club,DunwoodyFC,"1233 Potomac Rd. Atlanta, GA 30338, US",Atlanta - GA,GA,(404) 213-7517,bbhk@mindspring.com,http://www.dunwoodyfencingclub.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Durkan Fencing Academy,DurkanFA,"60 Saddle River Avenue, Unit E, behind the PowerHouse Gym South Hackensack, NJ 07606, US",South Hackensack - NJ,NJ,(201) 880-7029,info@durkanfencing.com,http://www.durkanfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Dynamo Fencing Center Inc.,DynamoFC,"10 Raymond Pl West Newton, MA 02465, US",West Newton - MA,MA,(347) 409-0915,dynamo.fencing.center@gmail.com,http://dynamo-fencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Eagle Fencing Academy,EagleFA,"Katy Cavins Community Center, 308 E. 5th St O'Fallon, IL 62269, US",O'Fallon - IL,IL,(618) 444-7037,eaglefencingacademy@yahoo.com,http://www.eaglefencingacademy.com/,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
East Bay Fencers Gym,EBFG,"1429 Marthin Luther King Jr. Way Oakland, CA 94612, US",Oakland - CA,CA,(415) 786-3683,abdulhabek@att.net,http://www.eastbayfencers.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
East Coast Fencing Club,ECFC,"55 Lumber Road, Suite -135 Roslyn, NY 11576, US",Roslyn - NY,NY,(646) 750-0321,eastcoastfencingclub@gmail.com,http://www.eastcoastfencingclub.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
East End Fencing Academy,EastEndFA,"PO Box 288 Peconic, NY 11958, US",Peconic - NY,NY,(631) 520-1528,eastendfencing@gmail.com,http://www.eastendfencingacademy.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Eastern Kentucky University Fencing Club,EKUFC,"521 Lancaster Ave SB 3238 Richmond, KY 40475, US",Richmond - KY,KY,(859) 661-2332,marcia.pierce@eku.edu,https://www.facebook.com/EKUFencingClub,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Echo Fencing,EF,"883 Boylston Street, 4th Floor Boston, MA 02116, US",Boston - MA,MA,(617) 259-0311,info@echofencingboston.com,http://echofencingboston.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Edge of America Fencing,EdgeAmerica,"NORTH CHARLESTON, SC 29406, US",NORTH CHARLESTON - SC,SC,(843) 410-9099,edgeofamericafencing@gmail.com,http://edgeofamericafencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Elite Fencers Club,Elite FC,"Brant Park Drive 319 Springfield, NJ 07081, US",Springfield - NJ,NJ,(631) 742-3307,nvomero12@gmail.com,http://www.elitefencersclub.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Elite Fencing Academy,GA) (EFA,"11300 Lakefield Dr. Johns Creek, GA 30097, US",Johns Creek - GA,GA,(404) 500-8285,info@elitefencingacademy.com,http://www.elitefencingacademy.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Elite Fencing Academy,VA) (EFA,"5401B Port Royal Road Springfield, VA 22151, US",Springfield - VA,VA,(571) 378-1387,infova@elitefencingacademy.com,http://www.elitefencingacademy.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Elite Fencing Club,EFC,"4943 McConnell Avenue, Suite N Los Angeles, CA 90066, US",Los Angeles - CA,CA,None,elitefencingclubhr@gmail.com,http://www.elitefencingclub.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Elite International Fencers Club,EIFC,"16775 Bernardo Center Dr. San Diego, CA 92128, US",San Diego - CA,CA,(858) 382-1769,chrisy69song@gmail.com,http://Eifencer.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Emerald City Fencing Club,ECFC,"825 NE Northgate Way Seattle, WA 98125, US",Seattle - WA,WA,(206) 900-8088,info@emeraldcityfencing.com,http://www.emeraldcityfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Emory University Fencing Club,EmoryUFC,"26 Eagle Row Atlanta, GA 30322, US",Atlanta - GA,GA,(571) 315-0632,bschipp@emory.edu,http://www.play.emory.edu/club_sports/current_club_sports.html,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
En Garde Fencing - California,EnGarde-CA,"917 Piner Rd., Suite D Santa Rosa, CA 95403, US",Santa Rosa - CA,CA,(707) 596-3626,egfencing@gmail.com,http://www.egfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Encinitas Fencing Academy,EncinitasFA,"613 Westlake St. Encinitas, CA 92024, US",Encinitas - CA,CA,(760) 301-6017,info@encinitasfencing.com,http://www.encinitasfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Enfield Fencing Club,EFC,"54 Hazard Avenue, unit 20 Enfield, CT 06082, US",Enfield - CT,CT,(860) 944-1347,enfieldfencingclub@gmail.com,http://enfieldfencingclub.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Epee Miami Fencing Club,EpeeMiamiFC,"7190 SW Sunset Dr., . Miami 33143, US",Miami 33143 - US,US,(786) 333-5684,epeemiamifencingclub@yahoo.com,http://www.epeemiamifencingclub.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Epic Fencing Club,EpicFC,"4150 Old Milton PKWY, suite 20 Alpharetta, GA 30005, US",Alpharetta - GA,GA,(727) 808-5210,edp.fencing@gmail.com,http://www.epicfencingclubatlanta.com/,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Escrime Du Lac,EsDulac,"109 Lincolnway W Mishawaka, IN 46544, US",Mishawaka - IN,IN,(262) 672-1631,walton.f@gmail.com,https://www.edlfencing.com/,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
ESCRIMEUR FENCERS CLUB,EscrimeurFC,"The Fields Sports Complex, 8 Cornwall Ct. East Brunswick, NJ 08816, US",East Brunswick - NJ,NJ,(732) 309-8302,staff@escrimeur.com,http://www.escrimeur.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
EWA Fencing LLC,EWAFencing,"18141 W. Port Au Prince Ln. Surprise, AZ 85388, US",Surprise - AZ,AZ,(480) 603-8879,emedynska@yahoo.com,http://www.EwaFencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Excel Fencing Academy,ExcelFA,"432 Wyoming Avenue Millburn, NJ 07041, US",Millburn - NJ,NJ,(973) 953-4311,ExcelFencers@gmail.com,http://www.ExcelFencers.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fairfax Fencers LLC,FairfaxFenc,"4433 Brookfield Corporate, Suite J Chantilly, VA 20151, US",Chantilly - VA,VA,(703) 352-2642,fun@fairfaxfencers.com,http://www.fairfaxfencers.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fairfield Avenue School of Fencing,FairfieldSch,"1413 Fairfield Avenue, . Shreveport, LA 71101, US",Shreveport - LA,LA,(318) 773-3592,andy@museumofamericanfencing.com,http://www.fencingonfairfield.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fairfield County Fencing Academy AKA Fairfield Fencing Academy,FCFA/FFA,"700 Old Stratfield Road Fairfield, CT 06825, US",Fairfield - CT,CT,(203) 292-9658,director@fairfieldfencingacademy.com,http://www.fairfieldfencingacademy.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fargo-Moorhead Fencing Club,FMFC,"1025 14th Ave S Fargo, ND 58103, US",Fargo - ND,ND,(701) 371-6148,info@fmfencing.com,http://www.fmfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Farrag Fencing Team,FFT) (FFT,"811 KENNEDY BLVD, Apt 1 BAYONNE, NJ 07002, US",BAYONNE - NJ,NJ,(551) 556-8212,farragfencing@hotmail.com,https://www.facebook.com/FarragFencingTeam,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fazekas Fencing Academy,FFA,"2750 Forest Hills Blvd. #210 Coral Springs, FL 33065, US",Coral Springs - FL,FL,(708) 369-3061,fazekasfencing@gmail.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fencers Club Inc.,FencersClub,"20 West 33rd Street, 2nd Floor New York, NY 10001, US",New York - NY,NY,(212) 807-6947,info@fencersclub.org,http://www.fencersclub.org,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fencers School Of Connecticut,FSOCT,"2458 Boston Post Road, #6 Guilford, CT 06437, US",Guilford - CT,CT,(203) 901-3105,info@fencersschoolofct.com,http://www.fencersschoolofct.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fencing Academy Of Boston,FAOBoston,"100 Parker St. Watertown, MA 02472, US",Watertown - MA,MA,(617) 924-4466,fencingacademyofboston@gmail.com,http://www.fencingacademyofboston.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fencing Academy Of Denver,FAODenver,"8000 S. Lincoln St., Unit 9 Littleton, CO 80122, US",Littleton - CO,CO,(720) 334-3578,fencing2@msn.com,http://fencingacademysport.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fencing Academy Of Philadelphia,FAP,"3851 Warren St. Philadelphia, PA 19104, US",Philadelphia - PA,PA,(215) 382-0293,info@fap-fencing.com,http://fencefap.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fencing Academy Of Philadelphia North,FAP-North,"827 Glenside Avenue, Wyncote Commons Suite 201 Wyncote, PA 19095, US",Wyncote - PA,PA,(215) 887-2249,jwischnia@fencefap.com,http://www.fap-fencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fencing Academy Of Westchester,FAW,"40 Saw Mill River Road, Suite 5 Hawthorne, NY 10532, US",Hawthorne - NY,NY,(914) 345-5005,manager@fencewestchester.com,http://www.fencewestchester.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fencing Center Of Chicago,FCChicago,"111 S. Washington Ave, Lower Level Park Ridge, IL 60068, US",Park Ridge - IL,IL,(847) 292-1146,fcc@fencingcenterofchicago.com,http://www.fencingcenterofchicago.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fencing Club Asheville,FCAsheville,"53 Inglewood Rd. Asheville, NC 28804, US",Asheville - NC,NC,(704) 649-1902,toddswilson@att.net,http://www.fencingclubasheville.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fencing Club at Auburn University,FCAU,"1477 N Donahue, 203 Auburn, AL 36830, US",Auburn - AL,AL,(770) 655-6739,jmp0145@auburn.edu,https://auburn.campuslabs.com/engage/organization/fencingclubatauburnuniversity,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fencing Club at Indiana University,INUnivFC,"1025 E 7th Street, Room 293, Intramural Center Bloomington, IN 47405, US",Bloomington - IN,IN,None,fencing@indiana.edu,https://fencing028.wixsite.com/fencingatiu,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fencing Club At NC State,NCStateFC,"2611 Cates Ave. Raleigh, NC 27602, US",Raleigh - NC,NC,(704) 288-9189,ncsufencingclub@gmail.com,https://www.facebook.com/NCSUFencing/,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fencing Club at Oregon State University,FCOSU,"Corvallis, OR 97331, US",Corvallis - OR,OR,(918) 814-2028,fencing@oregonstate.edu,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fencing Club At Universtiy Of Tennessee,FCAUOT,"1438 Kenton Way Knoxville, Tennessee 37922, US",Knoxville - Te,Te,(865) 705-5490,fencing@utk.edu,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fencing Club Of Mercer County,FCMercerCnty,"1274 Rte 130 Robbinsville, NJ 08691, US",Robbinsville - NJ,NJ,(732) 539-7446,john.m.friedberg@gmail.com,http://www.fencingclubofmercercounty.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fencing in the Park,FITP,"1366 E 48th Street Brooklyn, NY 11234, US",Brooklyn - NY,NY,(917) 209-2808,fencinginthepark@gmail.com,http://www.fencinginthepark.org,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fencing Institute Of America - Baltimore,FIABaltimore,"1120 North Rolling Road, SP / TWC / FIA-Baltimore Catonsville, MD 21228, US",Catonsville - MD,MD,(410) 744-3362,CharlesEGreeneII@AOL.com,http://www.twcfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fencing Institute Of Texas,FIT,"1000 West Crosby Road, Suite 134 Carrollton, TX 75006, US",Carrollton - TX,TX,(972) 242-0399,info@fenceintexas.org,http://www.fenceintexas.org,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
"Fencing Sports Academy, Inc.",FSA Inc,"10310-A Main Street Fairfax, VA 22030, US",Fairfax - VA,VA,(571) 277-8040,fencingtoday@gmail.com,http://www.fencingsports.net,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fencing Sports Club,Vladimir & Tracy Lapshin (FSportsClub,"712 E. Berkshire Ave Lombard, IL 60148, US",Lombard - IL,IL,(630) 678-0035,tracylapshin@hotmail.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fioretto Fencing Academy,FiorettoFA,"12851 Chets Creek Dr. N Jacksonville, FL 32224, US",Jacksonville - FL,FL,(904) 566-9003,olgalisalan@yahoo.com,http://www.fioretto-fencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fishkill Fencing Club,FFC,"112 Phillies Bridge Road, New Paltz New Paltz, NY 12561, US",New Paltz - NY,NY,(845) 430-0756,jomara@hvc.rr.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
FitFence Club,FFC,"25 Exchange street Lynn, MA 01901, US",Lynn - MA,MA,(781) 731-5890,Fitfenceclub@gmail.com,http://fitfenceclub.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Five Points Fencing Academy,FPFA,"386 Columbia Road Unit 3C Hanover, MA 02339, US",Hanover - MA,MA,(617) 921-1706,rob@fivepointsfencing.com,http://www.fivepointsfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Five Rings Fencing Club,5RingsFC,"2508 Cimarron Dr. Lawrence, KS 66046, US",Lawrence - KS,KS,(785) 550-6718,mark@fiveringsfencing.org,http://www.fiveringsfencing.org,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
"Florespa Fencing Club, Inc.",FlorespaFC,"111 NW 1 st ST,, Suite 2340 MIAMI, FL 33128, US",MIAMI - FL,FL,(305) 767-9101,L.bretones17@gmail.com,http://www.florespafencingclub.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Florida Atlantic University Fencing Club,FLORIDA,"777 Glades road Boca Raton, FL 33431, US",Boca Raton - FL,FL,(561) 632-3690,bvenegas2017@fau.edu,https://fau.campuslabs.com/engage/organization/faufencing,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Florida International University Fencing Club,FIUFC,"14930 SW 155th Terrace Miami, FL 33187, US",Miami - FL,FL,(786) 808-8539,fiufencingclub@gmail.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Florida State University Fencing Club,FLStateUFC,"Chieftan Way, Tully Gymnasium Tallahassee, FL 32316, US",Tallahassee - FL,FL,(904) 704-8551,kab19d@my.fsu.edu,http://.campusrec.fsu.edu/sports/clubs/fencing,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Foothills Fencing Academy,FoothillsFA,"1004 Piedmont Hwy Piedmont, SC 29673, US",Piedmont - SC,SC,(864) 593-3684,foothillsfencingacademy@gmail.com,http://www.foothillsfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Forge Fencing Teams,Forge,"610 North Duke Street Durham, NC 27701, US",Durham - NC,NC,(919) 308-0800,info@midsouthfencersclub.org,http://www.forgefencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fort Bend Fencing Academy,FtBendFA,"11134 Hwy 6 So., Suite 203 Sugar Land, TX 77489, US",Sugar Land - TX,TX,(832) 457-4431,manuel.rodrigu0868@sbcglobal.net,http://fortbendfencingacademy.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Forte Fencing,CA) (ForteFencing,"3101 Juniper Street #1 San Diego, CA 92104, US",San Diego - CA,CA,(858) 344-7975,fortefencing@yahoo.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Forte Fencing Club,FORTE,"94 E Dewey Ave Wharton, NJ 07885, US",Wharton - NJ,NJ,(973) 400-9203,coaches@fortefencing.com,http://fortefencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fortune Fencing,Fortune,"139 West Maple Avenue Monrovia, CA 91016, US",Monrovia - CA,CA,(626) 471-3565,info@fortunefencing.com,http://www.fortunefencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Forward Fencing Academy,FFA,"1EA Chimney Rock Road, Suite 2 Bridgewater Township, NJ 08807, US",Bridgewater Township - NJ,NJ,(609) 433-6279,,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Freehold Fencing Academy,FreeholdFA,"56 Thoreau Dr., Poets Sq Mall Freehold, NJ 07728, US",Freehold - NJ,NJ,(732) 610-0322,freeholdfencingacademy@yahoo.com,http://www.freeholdfencingacademy.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fremont Fencing Club,FremontFC,"34347 Mulberry Ter Fremont, CA 94555, US",Fremont - CA,CA,(510) 648-9397,fremontfencingclub@gmail.com,http://www.fremontfencingclub.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Fresno Fencing Academy,FresnoFA,"5717 North 1st St. Fresno, CA 93710, US",Fresno - CA,CA,(559) 224-1910,fresnofencer@att.net,http://www.fresno-fencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Frisco Fencing Academy,FFA,"6226 Allstars Avenue Frisco, TX 75034, US",Frisco - TX,TX,(214) 618-0491,info@friscofencingacademy.com,https://friscofencingacademy.com/,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Front Range Fencing Club,FrontRangeFC,"11795 Grand Lawn Circle Colorado Springs, CO 80924, US",Colorado Springs - CO,CO,(719) 339-5495,frontrangefencingclub@comcast.net,http://www.frontrangefencingclub.com/,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Frontier Fencing Studio Inc.,FFSI,"C/O Melanie Jones, P.O. Box 30077 New York, NY 10011, US",New York - NY,NY,None,studiofrontier@outlook.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Future Stars Fencing & Sports Center,FSFSC,"13432 35th Avenue #Basement Flushing, NY 11354, US",Flushing - NY,NY,(917) 680-8908,fstarfencing@gmail.com,http://www.fstarfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Galveston Fencing Club,GalvestonFC,"1320 23rd Street Galveston, TX 77550, US",Galveston - TX,TX,(409) 256-6714,kathy.machol@gmail.com,http://galvestonfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Genbu Fencing Corps,GFC,"9970 E Goldsmith Place Tucson, AZ 85749, US",Tucson - AZ,AZ,(860) 861-7464,genbu.fencing.corps@gmail.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
George Washington University Fencing Club,GWUFC,"2301 G Street NW Washington, DC 20052, US",Washington - DC,DC,(207) 751-4540,hhiggison@gmail.com,https://clubsports.gwu.edu/fencing,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Georgia Southern University Fencing Club,GA Southrn U.,"PO Box 8078 Statesboro, GA 30460, US",Statesboro - GA,GA,(478) 714-5835,,https://sites.google.com/site/gasoufencing?,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Georgia Tech University Yellow Jacket Fencing Club,GTU/YJFC,"750 Ferst Dr. Atlanta, GA 30332, US",Atlanta - GA,GA,(678) 782-0356,yjfencing@gmail.com,http://yellowjacketfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Gladius Athletic Foundation,GAF,"2390 Crenshaw Blvd. #520 Torrance, CA 90501, US",Torrance - CA,CA,(424) 337-0622,gafndn@gmail.com,http://www.gafndn.org,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Globus Fencing Academy,GFA,"13615 Welch Rd #102 Dallas, TX 75244, US",Dallas - TX,TX,(972) 839-7288,globusfencing@gmail.com,http://globusfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
